Date,Open,High,Low,Close,Adj Close,Volume
2018-09-26,290.910004,292.239990,289.410004,289.880005,288.197052,79739700
2018-09-27,290.410004,291.910004,290.100006,290.690002,289.002319,59249500
2018-09-28,289.989990,291.279999,289.950012,290.720001,289.032166,70091400
2018-10-01,292.109985,292.929993,290.980011,291.730011,290.036316,62078900
2018-10-02,291.559998,292.359985,291.140015,291.559998,289.867279,47258200
2018-10-03,292.739990,293.209991,291.320007,291.720001,290.026367,64694600
2018-10-04,291.179993,291.239990,287.660004,289.440002,287.759583,111545900
2018-10-05,289.690002,290.269989,286.220001,287.820007,286.148987,105951700
2018-10-08,287.049988,288.220001,285.500000,287.820007,286.148987,87742200
2018-10-09,287.390015,288.859985,286.769989,287.399994,285.731415,74339000
2018-10-10,286.829987,286.910004,277.880005,278.299988,276.684265,214731000
2018-10-11,277.079987,278.899994,270.359985,272.170013,270.589874,274840500
2018-10-12,276.769989,277.089996,272.369995,275.950012,274.347931,183186500
2018-10-15,275.549988,277.040009,274.299988,274.399994,272.806915,102263700
2018-10-16,276.600006,280.820007,276.070007,280.399994,278.772064,118255800
2018-10-17,280.440002,281.149994,277.559998,280.450012,278.821808,110626000
2018-10-18,279.399994,280.070007,274.970001,276.399994,274.795288,134557500
2018-10-19,277.130005,279.299988,275.470001,276.250000,274.646179,139901600
2018-10-22,277.000000,277.359985,274.410004,275.010010,273.413361,82415800
2018-10-23,270.950012,274.869995,268.609985,273.609985,272.021484,146352700
2018-10-24,273.329987,273.760010,264.700012,265.320007,263.779633,177806700
2018-10-25,267.380005,271.809998,266.230011,270.079987,268.511963,138061500
2018-10-26,265.920013,271.000000,262.290009,265.329987,263.789551,201574600
2018-10-29,268.799988,270.250000,259.850006,263.859985,262.328094,160749100
2018-10-30,263.670013,268.119995,263.119995,267.769989,266.215393,157116000
2018-10-31,270.649994,273.230011,270.119995,270.630005,269.058807,128296300
2018-11-01,271.600006,273.730011,270.380005,273.510010,271.922089,99495000
2018-11-02,274.750000,275.230011,269.589996,271.890015,270.311493,122634100
2018-11-05,272.440002,274.010010,271.350006,273.390015,271.802795,65622500
2018-11-06,273.320007,275.299988,273.250000,275.119995,273.522736,60085900
2018-11-07,277.559998,281.100006,277.079987,281.010010,279.378540,102752100
2018-11-08,280.109985,281.220001,279.220001,280.500000,278.871490,65584900
2018-11-09,279.029999,279.239990,276.179993,277.760010,276.147400,98812600
2018-11-12,277.190002,277.459991,271.989990,272.570007,270.987549,99673600
2018-11-13,273.089996,275.329987,271.250000,272.059998,270.480499,98176600
2018-11-14,274.160004,274.609985,268.450012,270.200012,268.631317,125335900
2018-11-15,268.779999,273.540009,267.010010,273.019989,271.434906,135101400
2018-11-16,271.790009,274.750000,271.209991,273.730011,272.140808,126668000
2018-11-19,273.049988,273.380005,268.070007,269.100006,267.537689,103061700
2018-11-20,265.359985,267.000000,263.149994,264.119995,262.586578,136021300
2018-11-21,265.859985,267.149994,265.010010,265.019989,263.481354,75563700
2018-11-23,263.179993,264.820007,263.070007,263.250000,261.721649,42807900
2018-11-26,265.779999,267.750000,265.339996,267.500000,265.946960,79981400
2018-11-27,266.339996,268.399994,265.660004,268.399994,266.841736,75502400
2018-11-28,269.600006,274.579987,268.329987,274.579987,272.985840,127629600
2018-11-29,273.709991,275.549988,272.429993,273.980011,272.389343,82346400
2018-11-30,273.809998,276.279999,273.450012,275.649994,274.049652,98204200
2018-12-03,280.279999,280.399994,277.510010,279.299988,277.678436,103176300
2018-12-04,278.369995,278.850006,269.899994,270.250000,268.681000,177986000
2018-12-06,265.920013,269.970001,262.440002,269.839996,268.273376,204185400
2018-12-07,269.459991,271.220001,262.630005,263.570007,262.039795,161018900
2018-12-10,263.369995,265.160004,258.619995,264.070007,262.536896,151445900
2018-12-11,267.660004,267.869995,262.480011,264.130005,262.596527,121504400
2018-12-12,267.470001,269.000000,265.369995,265.459991,263.918793,97976700
2018-12-13,266.519989,267.489990,264.119995,265.369995,263.829315,96662700
2018-12-14,262.959991,264.029999,259.850006,260.470001,258.957794,116961100
2018-12-17,259.399994,260.649994,253.529999,255.360001,253.877457,165492300
2018-12-18,257.200012,257.950012,253.279999,255.080002,253.599075,134515100
2018-12-19,255.169998,259.399994,249.350006,251.259995,249.801239,214992800
2018-12-20,249.860001,251.619995,244.649994,247.169998,245.735001,252053400
2018-12-21,246.740005,249.710007,239.979996,240.699997,240.699997,255345600
2018-12-24,239.039993,240.839996,234.270004,234.339996,234.339996,147311600
2018-12-26,235.970001,246.179993,233.759995,246.179993,246.179993,218485400
2018-12-27,242.570007,248.289993,238.960007,248.070007,248.070007,186267300
2018-12-28,249.580002,251.399994,246.449997,247.750000,247.750000,153100200
2018-12-31,249.559998,250.190002,247.470001,249.919998,249.919998,144299400
2019-01-02,245.979996,251.210007,245.949997,250.179993,250.179993,126925200
2019-01-03,248.229996,248.570007,243.669998,244.210007,244.210007,144140700
2019-01-04,247.589996,253.110001,247.169998,252.389999,252.389999,142628800
2019-01-07,252.690002,255.949997,251.690002,254.380005,254.380005,103139100
2019-01-08,256.820007,257.309998,254.000000,256.769989,256.769989,102512600
2019-01-09,257.559998,258.910004,256.190002,257.970001,257.970001,95006600
2019-01-10,256.260010,259.160004,255.500000,258.880005,258.880005,96823900
2019-01-11,257.679993,259.010010,257.029999,258.980011,258.980011,73858100
2019-01-14,256.859985,258.299988,256.410004,257.399994,257.399994,70908200
2019-01-15,257.820007,260.700012,257.809998,260.350006,260.350006,85208300
2019-01-16,260.829987,261.970001,260.600006,260.980011,260.980011,77636700
2019-01-17,260.010010,263.920013,259.959991,262.959991,262.959991,96118400
2019-01-18,264.980011,266.980011,263.000000,266.459991,266.459991,127900300
2019-01-22,264.820007,265.059998,261.059998,262.859985,262.859985,115531200
2019-01-23,264.010010,264.790009,260.660004,263.410004,263.410004,86030300
2019-01-24,263.209991,264.200012,262.079987,263.549988,263.549988,59204100
2019-01-25,265.609985,266.700012,263.660004,265.779999,265.779999,96883400
2019-01-28,263.390015,263.829987,261.790009,263.760010,263.760010,85613700
2019-01-29,263.920013,264.549988,262.480011,263.410004,263.410004,66136300
2019-01-30,265.100006,268.519989,264.250000,267.579987,267.579987,92473700
2019-01-31,267.510010,270.470001,267.269989,269.929993,269.929993,104012100
2019-02-01,270.149994,271.200012,269.179993,270.059998,270.059998,85782500
2019-02-04,270.109985,272.029999,269.359985,271.959991,271.959991,60744800
2019-02-05,272.440002,273.440002,271.880005,273.100006,273.100006,79552800
2019-02-06,272.790009,273.339996,271.920013,272.739990,272.739990,58347800
2019-02-07,270.940002,271.549988,268.290009,270.140015,270.140015,95482000
2019-02-08,268.750000,270.579987,267.829987,270.470001,270.470001,75788900
2019-02-11,271.200012,271.489990,270.029999,270.619995,270.619995,68021400
2019-02-12,272.420013,274.519989,272.339996,274.100006,274.100006,72270200
2019-02-13,275.029999,275.929993,274.559998,274.989990,274.989990,65277200
